year,platform,active_users_millions
2017,Facebook,200.0
2017,YouTube,210.0
2017,TikTok,100.0
2017,X,90.0
2018,Facebook,210.0
2018,YouTube,220.0
2018,TikTok,110.0
2018,X,95.0
2019,Facebook,220.0
2019,YouTube,230.0
2019,TikTok,115.0
2019,X,98.0
2020,Facebook,230.0
2020,YouTube,240.0
2020,TikTok,120.0
2020,X,102.0
2021,Facebook,240.0
2021,YouTube,250.0
2021,TikTok,125.0
2021,X,105.0
2022,Facebook,245.0
2022,YouTube,260.0
2022,TikTok,130.0
2022,X,110.0
2023,Facebook,250.0
2023,YouTube,270.0
2023,TikTok,134.0
2023,X,112.0
2024,Facebook,255.0
2024,YouTube,275.0
2024,TikTok,142.0
2024,X,115.0
