year,caseload,examined,true_error_rate,n11,n10,n01,n_overlap
2016,1235.3848299801984,0.0,0.1002405726103591,107,128,89,4000
2017,1299.3456046096019,647.9587391650371,0.1002405726103591,114,135,80,4000
2018,1364.481481200595,658.1679250783199,0.1002405726103591,97,127,58,4000
2019,1436.0791818726689,669.4222719220029,0.1002405726103591,109,128,82,4000
2020,1507.7852166779917,678.4958579061706,0.1002405726103591,117,112,81,4000
2021,1587.0212270631544,689.1846300679306,0.1002405726103591,93,121,71,4000
2022,1673.851452478337,924.3460582711771,0.1002405726103591,111,123,62,4000
2023,1762.7537192066663,1198.0872804867938,0.1002405726103591,105,127,68,4000
2024,1860.0012434289997,1485.3447640329452,0.0,0,0,0,4000
2025,1959.6625542888169,1742.2488294158993,0.0,0,0,0,4000
2026,2063.6017305683768,1946.6250808575785,0.0,0,0,0,4000
2027,2174.4796223011663,2123.529744689599,0.0,0,0,0,4000
